Category,Prompt,Recommendation
Nature,Nature scene showing 1 flower,"Background color: navy blue; Number of objects: 1; Object colors: pink, white"
Nature,Nature scene showing 5 beachs,"Background color: midnight black; Number of objects: 5; Object colors: yellow, blue"
Nature,Nature scene showing 4 trees,"Background color: sky blue; Number of objects: 4; Object colors: yellow, gray"
Nature,Nature scene showing 4 rivers,"Background color: light yellow; Number of objects: 4; Object colors: blue, green"
Nature,Nature scene showing 3 mountains,"Background color: beige; Number of objects: 3; Object colors: brown, yellow"
Nature,Nature scene showing 4 valleys,"Background color: beige; Number of objects: 4; Object colors: yellow, white"
Nature,Nature scene showing 5 beachs,"Background color: light yellow; Number of objects: 5; Object colors: brown, orange"
Nature,Nature scene showing 1 desert,"Background color: beige; Number of objects: 1; Object colors: brown, green"
Nature,Nature scene showing 4 rivers,"Background color: cloudy gray; Number of objects: 4; Object colors: brown, black"
Nature,Nature scene showing 3 flowers,"Background color: sky blue; Number of objects: 3; Object colors: gray, purple"
Nature,Nature scene showing 3 beachs,"Background color: navy blue; Number of objects: 3; Object colors: blue, black"
Nature,Nature scene showing 2 rivers,"Background color: beige; Number of objects: 2; Object colors: black, brown"
Nature,Nature scene showing 5 flowers,"Background color: light yellow; Number of objects: 5; Object colors: pink, pink"
Nature,Nature scene showing 4 beachs,"Background color: forest green; Number of objects: 4; Object colors: pink, purple"
Nature,Nature scene showing 1 tree,"Background color: light yellow; Number of objects: 1; Object colors: pink, blue"
Nature,Nature scene showing 3 mountains,"Background color: midnight black; Number of objects: 3; Object colors: purple, white"
Nature,Nature scene showing 3 mountains,"Background color: beige; Number of objects: 3; Object colors: white, black"
Nature,Nature scene showing 1 tree,"Background color: sunset orange; Number of objects: 1; Object colors: blue, orange"
Nature,Nature scene showing 1 valley,"Background color: cloudy gray; Number of objects: 1; Object colors: pink, white"
Nature,Nature scene showing 4 rivers,"Background color: forest green; Number of objects: 4; Object colors: black, purple"
Nature,Nature scene showing 5 rivers,"Background color: light yellow; Number of objects: 5; Object colors: purple, yellow"
Nature,Nature scene showing 2 valleys,"Background color: midnight black; Number of objects: 2; Object colors: purple, black"
Nature,Nature scene showing 5 beachs,"Background color: sunset orange; Number of objects: 5; Object colors: brown, red"
Nature,Nature scene showing 4 beachs,"Background color: beige; Number of objects: 4; Object colors: black, pink"
Nature,Nature scene showing 4 beachs,"Background color: sunset orange; Number of objects: 4; Object colors: blue, red"
Nature,Nature scene showing 3 valleys,"Background color: midnight black; Number of objects: 3; Object colors: gray, white"
Nature,Nature scene showing 1 flower,"Background color: sunset orange; Number of objects: 1; Object colors: blue, pink"
Nature,Nature scene showing 2 deserts,"Background color: beige; Number of objects: 2; Object colors: black, red"
Nature,Nature scene showing 3 mountains,"Background color: midnight black; Number of objects: 3; Object colors: red, green"
Nature,Nature scene showing 5 beachs,"Background color: cloudy gray; Number of objects: 5; Object colors: purple, gray"
Nature,Nature scene showing 3 rivers,"Background color: midnight black; Number of objects: 3; Object colors: red, orange"
Nature,Nature scene showing 4 valleys,"Background color: navy blue; Number of objects: 4; Object colors: blue, brown"
Nature,Nature scene showing 2 flowers,"Background color: forest green; Number of objects: 2; Object colors: gray, brown"
Nature,Nature scene showing 1 valley,"Background color: navy blue; Number of objects: 1; Object colors: green, red"
Nature,Nature scene showing 2 beachs,"Background color: forest green; Number of objects: 2; Object colors: green, red"
Nature,Nature scene showing 1 desert,"Background color: cloudy gray; Number of objects: 1; Object colors: gray, red"
Nature,Nature scene showing 1 river,"Background color: sunset orange; Number of objects: 1; Object colors: brown, blue"
Nature,Nature scene showing 3 trees,"Background color: midnight black; Number of objects: 3; Object colors: pink, white"
Nature,Nature scene showing 2 deserts,"Background color: midnight black; Number of objects: 2; Object colors: blue, red"
Nature,Nature scene showing 4 trees,"Background color: light yellow; Number of objects: 4; Object colors: purple, brown"
Nature,Nature scene showing 5 deserts,"Background color: navy blue; Number of objects: 5; Object colors: brown, purple"
Nature,Nature scene showing 2 trees,"Background color: cloudy gray; Number of objects: 2; Object colors: purple, purple"
Nature,Nature scene showing 5 mountains,"Background color: sunset orange; Number of objects: 5; Object colors: orange, green"
Nature,Nature scene showing 5 beachs,"Background color: navy blue; Number of objects: 5; Object colors: blue, yellow"
Nature,Nature scene showing 3 trees,"Background color: beige; Number of objects: 3; Object colors: black, gray"
Nature,Nature scene showing 1 desert,"Background color: navy blue; Number of objects: 1; Object colors: yellow, orange"
Nature,Nature scene showing 2 trees,"Background color: navy blue; Number of objects: 2; Object colors: pink, white"
Nature,Nature scene showing 1 river,"Background color: sunset orange; Number of objects: 1; Object colors: purple, pink"
Nature,Nature scene showing 4 valleys,"Background color: midnight black; Number of objects: 4; Object colors: brown, purple"
Nature,Nature scene showing 1 beach,"Background color: sunset orange; Number of objects: 1; Object colors: gray, yellow"
Nature,Nature scene showing 5 deserts,"Background color: light yellow; Number of objects: 5; Object colors: brown, orange"
Nature,Nature scene showing 4 mountains,"Background color: light yellow; Number of objects: 4; Object colors: pink, blue"
Nature,Nature scene showing 1 beach,"Background color: sunset orange; Number of objects: 1; Object colors: gray, white"
Nature,Nature scene showing 5 flowers,"Background color: midnight black; Number of objects: 5; Object colors: green, green"
Nature,Nature scene showing 1 mountain,"Background color: beige; Number of objects: 1; Object colors: purple, red"
Nature,Nature scene showing 2 beachs,"Background color: light yellow; Number of objects: 2; Object colors: green, white"
Nature,Nature scene showing 1 valley,"Background color: light yellow; Number of objects: 1; Object colors: purple, yellow"
Nature,Nature scene showing 4 flowers,"Background color: cloudy gray; Number of objects: 4; Object colors: pink, brown"
Nature,Nature scene showing 5 deserts,"Background color: sunset orange; Number of objects: 5; Object colors: blue, purple"
Nature,Nature scene showing 1 tree,"Background color: beige; Number of objects: 1; Object colors: purple, orange"
Nature,Nature scene showing 2 valleys,"Background color: midnight black; Number of objects: 2; Object colors: red, green"
Nature,Nature scene showing 1 valley,"Background color: forest green; Number of objects: 1; Object colors: brown, gray"
Nature,Nature scene showing 4 deserts,"Background color: sky blue; Number of objects: 4; Object colors: gray, purple"
Nature,Nature scene showing 4 trees,"Background color: cloudy gray; Number of objects: 4; Object colors: orange, orange"
Nature,Nature scene showing 2 flowers,"Background color: beige; Number of objects: 2; Object colors: green, yellow"
Nature,Nature scene showing 3 flowers,"Background color: light yellow; Number of objects: 3; Object colors: green, blue"
Nature,Nature scene showing 1 beach,"Background color: sunset orange; Number of objects: 1; Object colors: gray, green"
Nature,Nature scene showing 4 valleys,"Background color: navy blue; Number of objects: 4; Object colors: gray, blue"
Nature,Nature scene showing 2 deserts,"Background color: light yellow; Number of objects: 2; Object colors: orange, pink"
Nature,Nature scene showing 1 valley,"Background color: light yellow; Number of objects: 1; Object colors: purple, blue"
Nature,Nature scene showing 5 trees,"Background color: beige; Number of objects: 5; Object colors: green, pink"
Nature,Nature scene showing 4 valleys,"Background color: light yellow; Number of objects: 4; Object colors: brown, brown"
Nature,Nature scene showing 2 flowers,"Background color: sky blue; Number of objects: 2; Object colors: pink, green"
Nature,Nature scene showing 3 valleys,"Background color: navy blue; Number of objects: 3; Object colors: yellow, black"
Nature,Nature scene showing 3 valleys,"Background color: forest green; Number of objects: 3; Object colors: yellow, black"
Nature,Nature scene showing 1 river,"Background color: midnight black; Number of objects: 1; Object colors: blue, yellow"
Nature,Nature scene showing 1 river,"Background color: cloudy gray; Number of objects: 1; Object colors: brown, red"
Nature,Nature scene showing 2 flowers,"Background color: beige; Number of objects: 2; Object colors: blue, gray"
Nature,Nature scene showing 1 valley,"Background color: sky blue; Number of objects: 1; Object colors: pink, black"
Nature,Nature scene showing 2 flowers,"Background color: sunset orange; Number of objects: 2; Object colors: purple, orange"
Nature,Nature scene showing 5 deserts,"Background color: light yellow; Number of objects: 5; Object colors: orange, white"
Nature,Nature scene showing 3 trees,"Background color: sky blue; Number of objects: 3; Object colors: yellow, white"
Nature,Nature scene showing 2 deserts,"Background color: sky blue; Number of objects: 2; Object colors: pink, gray"
Nature,Nature scene showing 3 rivers,"Background color: light yellow; Number of objects: 3; Object colors: purple, orange"
Nature,Nature scene showing 5 beachs,"Background color: sunset orange; Number of objects: 5; Object colors: gray, brown"
Nature,Nature scene showing 1 flower,"Background color: sky blue; Number of objects: 1; Object colors: purple, orange"
Nature,Nature scene showing 3 valleys,"Background color: light yellow; Number of objects: 3; Object colors: red, orange"
Nature,Nature scene showing 4 flowers,"Background color: midnight black; Number of objects: 4; Object colors: gray, green"
Nature,Nature scene showing 2 flowers,"Background color: sunset orange; Number of objects: 2; Object colors: yellow, yellow"
Nature,Nature scene showing 5 rivers,"Background color: navy blue; Number of objects: 5; Object colors: orange, pink"
Nature,Nature scene showing 3 mountains,"Background color: light yellow; Number of objects: 3; Object colors: yellow, blue"
Nature,Nature scene showing 1 valley,"Background color: forest green; Number of objects: 1; Object colors: blue, orange"
Nature,Nature scene showing 5 valleys,"Background color: sky blue; Number of objects: 5; Object colors: green, red"
Nature,Nature scene showing 5 trees,"Background color: navy blue; Number of objects: 5; Object colors: purple, white"
Nature,Nature scene showing 5 valleys,"Background color: beige; Number of objects: 5; Object colors: white, brown"
